Ship_mode,Country,State,City,Division,Region,Product_Name,Sales,Units,Gross_profit,Cost,gross_margin,profit_per_unit,margin_category,profit_category
Standard Class,United States,Texas,Houston,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Illinois,Naperville,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Illinois,Naperville,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Illinois,Naperville,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,69.44,2.5,High Margin,High Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
First Class,United States,Georgia,Athens,Chocolate,Gulf,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92,2.11,High Margin,Loss Making
Second Class,United States,California,Los Angeles,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4,69.44,2.5,High Margin,High Profit
